LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
22.06081081081081,11.163132379172149,11.790534125713965,1,2,11.53658536585366,91.0,16.0,24.93023363116087,10.0,21.408450704225352,10.0
26.114864864864863,38.00053838238735,26.109393814666436,0,0,10.0,10.0,10.0,27.59752080539634,10.0,32.816901408450704,26.192054690763005
36.25,19.921154654114478,17.899727447167088,0,2,56.09756097560976,10.0,10.0,26.381980889640097,10.0,44.225352112676056,26.18735905997648
18.81756756756757,22.10816957535718,16.958765622254276,0,1,18.78048780487805,10.0,10.0,16.61775566180792,15.294117647058822,27.74647887323944,21.453561358996478
23.783783783783782,20.68736839192225,16.43133874036011,0,2,29.75609756097561,10.0,10.0,28.322983553142677,10.0,32.816901408450704,23.63938133599424
31.182432432432435,17.851200165036843,19.76944459841799,1,2,23.170731707317078,10.0,10.0,20.70404206738108,10.0,27.74647887323944,23.42921502650536
26.114864864864863,28.38211060990674,19.3285246412056,0,3,27.5609756097561,10.0,22.0,36.91987989111707,10.0,61.971830985915496,25.771129703905306
24.18918918918919,24.93935650725684,17.71514396002401,0,1,18.78048780487805,10.0,10.0,19.21949560249104,15.294117647058822,35.352112676056336,19.2729293254594
24.7972972972973,18.66088702272024,15.587392043249924,1,2,64.8780487804878,10.0,10.0,29.685679467796568,10.0,26.47887323943662,19.771089542128088
17.2972972972973,21.76853582632891,18.629569918470025,1,2,49.51219512195122,10.0,10.0,23.342553697731216,10.0,45.49295774647888,21.424800742533336
20.54054054054054,23.404438384148413,17.180287035519143,0,1,34.14634146341464,10.0,10.0,30.252899507417325,25.88235294117647,55.63380281690141,27.319124329777814
29.358108108108112,33.37019827063527,28.288943742783715,0,1,23.170731707317078,10.0,10.0,26.84526480273282,25.88235294117647,40.42253521126761,28.321647094091745
15.16891891891892,48.38291566768221,35.23348614061179,0,4,10.0,10.0,10.0,20.408709464854063,10.0,37.887323943661976,27.4238357765302
31.689189189189197,19.04263535662801,13.693792612178902,0,2,10.0,10.0,10.0,16.879617457495694,10.0,26.47887323943662,10.0
36.85810810810811,37.410254926576215,25.851146762211517,0,0,14.390243902439025,10.0,10.0,31.823938007532035,10.0,40.42253521126761,26.16538150512268
35.8445945945946,23.77373348059182,20.08362925738493,0,5,12.195121951219512,10.0,40.0,24.442317499680385,20.588235294117645,53.098591549295776,10.0
33.41216216216216,11.861872212172976,15.51946022509491,0,2,63.78048780487805,10.0,16.0,26.650779990188177,31.176470588235293,50.563380281690144,10.0
25.405405405405403,24.82184323009306,18.23429165158053,0,2,27.5609756097561,10.0,10.0,15.811414554466085,25.88235294117647,23.943661971830988,23.863564511092846
28.75,20.850392591455822,18.12199186469303,0,2,36.34146341463415,10.0,10.0,17.150128424503475,10.0,22.676056338028168,13.146448811227629
30.16891891891892,25.17800582157404,20.317144882292794,0,2,10.0,19.0,10.0,28.32151747584673,15.294117647058822,26.47887323943662,27.65548691500786
22.06081081081081,40.69270189968477,26.02766334594868,0,3,29.75609756097561,28.0,46.0,18.20726293149245,41.76470588235294,56.90140845070423,10.0
27.533783783783782,18.981501281802927,15.492924358628107,0,2,23.170731707317078,19.0,10.0,18.47135959394608,15.294117647058822,22.676056338028168,22.154887967142862
19.02027027027027,23.014765262763312,18.364105110336133,0,2,29.75609756097561,37.0,16.0,21.720259080000893,20.588235294117645,74.64788732394366,10.0
31.283783783783782,25.313859321185348,19.99393802872714,1,0,38.53658536585366,10.0,10.0,22.694931703703634,10.0,45.49295774647888,25.86811490083892
25.91216216216216,19.71805367219557,16.05017755443096,0,4,18.78048780487805,28.0,16.0,15.93460094968412,41.76470588235294,64.50704225352112,10.0
21.0472972972973,28.59562702679585,19.834616686460457,1,3,10.0,10.0,10.0,16.138335623995854,15.294117647058822,35.352112676056336,24.756285069366665
25.91216216216216,32.81772737221594,20.96663674993425,0,1,12.195121951219512,10.0,10.0,29.82443791133513,10.0,53.098591549295776,22.006099962310355
18.716216216216218,21.533282849501997,15.09488636162607,0,1,14.390243902439025,10.0,10.0,15.780522171240769,36.47058823529412,32.816901408450704,10.0
20.135135135135137,23.5384805037649,17.353088597950958,1,2,18.78048780487805,10.0,16.0,28.775560300803203,15.294117647058822,30.281690140845072,25.994888444575963
25.2027027027027,32.139818409155524,21.319882204340324,0,2,34.14634146341464,10.0,10.0,23.09542933196861,10.0,44.225352112676056,24.645320592988043
30.574324324324323,29.49135443423307,21.35735084779145,0,5,16.585365853658537,10.0,10.0,26.42736576144532,20.588235294117645,44.225352112676056,10.0
36.0472972972973,40.828102554297374,27.20076093071308,0,3,31.951219512195124,10.0,10.0,25.387748328639887,15.294117647058822,46.760563380281695,43.6841425626346
23.885135135135137,23.978645842505543,19.39369672924807,1,0,29.75609756097561,10.0,34.0,24.285670741082715,20.588235294117645,27.74647887323944,10.0
31.08108108108108,23.534404898776565,18.92571018823954,0,1,20.97560975609756,10.0,10.0,23.218164177293158,10.0,30.281690140845072,26.5435674180158
24.5945945945946,31.63082063061182,21.816527481133,0,1,10.0,10.0,28.0,29.622528150312448,15.294117647058822,48.02816901408451,27.95795830460638
31.99324324324324,38.89920928231615,26.927229219173284,0,3,20.97560975609756,10.0,16.0,25.608473230175285,15.294117647058822,32.816901408450704,19.550626586046533
15.472972972972974,20.389622805274136,14.787282597542896,1,1,29.75609756097561,10.0,10.0,23.93189943606935,10.0,34.08450704225352,22.122561096512506
31.79054054054054,30.177414607270176,21.051976096491487,0,2,62.6829268292683,10.0,10.0,29.381754706872503,15.294117647058822,42.95774647887324,28.44202067602952
10.405405405405403,19.04263535662801,15.51946022509491,0,2,10.0,10.0,10.0,17.896537395221824,10.0,30.281690140845072,10.0
27.83783783783784,25.372049903518857,20.243905890844417,0,1,31.951219512195124,10.0,10.0,26.27405567278289,20.588235294117645,26.47887323943662,24.657117271021438
27.635135135135137,12.81986580693205,19.250403050327336,1,2,34.14634146341464,10.0,10.0,30.95734110021492,10.0,37.887323943661976,21.962600041122577
25.0,32.75568760739345,21.96491604641536,0,3,10.0,10.0,10.0,19.694179908403967,10.0,48.02816901408451,26.629389906146063
24.898648648648653,21.117344718192044,25.883732806232743,0,3,51.707317073170735,10.0,10.0,28.429731664371328,10.0,45.49295774647888,18.97526019118818
30.06756756756757,19.04263535662801,17.030200174782905,1,1,23.170731707317078,10.0,10.0,19.48469529103733,15.294117647058822,15.070422535211268,18.99044781996133
26.520270270270277,22.237683244986627,21.306508127641056,1,1,14.390243902439025,10.0,22.0,21.92997497731791,15.294117647058822,40.42253521126761,26.94064012105576
24.49324324324324,19.04263535662801,15.033429294888956,0,1,14.390243902439025,10.0,10.0,16.261646864856818,20.588235294117645,21.408450704225352,26.95342705776871
19.62837837837838,21.0039070460166,15.783863598570129,0,2,10.0,10.0,10.0,25.23140117237493,15.294117647058822,26.47887323943662,21.418175751941057
24.29054054054054,33.38151939560288,21.243883482779403,1,3,16.585365853658537,10.0,10.0,20.641720816959285,20.588235294117645,50.563380281690144,37.23515064710966
