LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,BAD
10.0,15.388176217083828,13.293101028530184,1,2,33.04878048780488,10.0,10.0,17.269950362911203,15.294117647058822,21.408450704225352,10.0,1
10.202702702702702,25.39446573095472,16.411065338379473,1,2,25.365853658536587,10.0,22.0,19.3859655865841,10.0,27.74647887323944,10.0,1
10.405405405405403,12.589594125090883,10.923448153044726,1,2,18.78048780487805,10.0,10.0,21.51482070925668,15.294117647058822,22.676056338028168,10.0,1
10.405405405405403,19.04263535662801,15.51946022509491,0,2,10.0,10.0,10.0,17.896537395221824,10.0,30.281690140845072,10.0,1
10.608108108108109,31.677010820479666,21.03892045018982,1,1,16.585365853658537,10.0,10.0,17.190342993997444,10.0,27.74647887323944,10.0,0
10.608108108108109,16.44964489404685,13.430556816828222,1,2,29.75609756097561,10.0,10.0,17.816878813911842,15.294117647058822,20.140845070422536,26.23876157826103,1
10.70945945945946,20.54811855482066,15.204957135730368,1,2,20.97560975609756,37.0,22.0,15.939736908991245,15.294117647058822,31.549295774647888,10.0,1
10.70945945945946,15.986384460372289,13.718630183191827,1,2,34.14634146341464,10.0,10.0,16.838480725511232,10.0,20.140845070422536,26.137252675212288,1
10.91216216216216,16.936906112652743,14.111997867695708,1,2,16.585365853658537,10.0,22.0,26.71241150156552,15.294117647058822,25.211267605633804,10.0,1
10.91216216216216,19.04263535662801,15.758283023296132,1,4,45.1219512195122,10.0,10.0,18.92116127187012,10.0,26.47887323943662,10.0,1
10.91216216216216,14.65185024919054,15.51946022509491,0,2,49.51219512195122,10.0,10.0,17.896537395221824,10.0,30.281690140845072,10.0,1
10.91216216216216,14.20330727797387,12.313927555905174,1,1,34.14634146341464,10.0,16.0,19.439893159039272,15.294117647058822,21.408450704225352,10.0,1
10.91216216216216,19.72190285468456,14.98874289575886,1,2,16.585365853658537,10.0,10.0,16.630523432371287,20.588235294117645,41.69014084507042,10.0,1
10.91216216216216,24.145292802028745,18.427791189856457,0,0,15.48780487804878,10.0,10.0,21.33506213389251,10.0,40.42253521126761,10.0,0
